V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32
31681,0,0,13,0,3121,52991,18,1242,SC,2,3.99,FEMALE,SELF,OWNED,04-10-1960,55,3,2,0,50000,0,,,52991,,,2,2,2,TIER 1,0
31682,0,0,14,1,2925,44900,18,4212,SC,0,11.5,MALE,SELF,OWNED,09-10-1971,44,3,1,1,200000,0,,1524,44900,,,0,0,0,TIER 1,0
31683,0,0,16,0,2620,51900,24,1302,MC,4,10.56,MALE,SELF,OWNED,09-12-1972,43,22,18,1,327000,0,906000,2982,59000,,,1,1,1,TIER 1,0
31684,0,0,10,0,2912,33593,12,1008,SC,0,3.99,MALE,SELF,OWNED,07-10-1967,48,3,1,2,,0,,,33593,,30,0,0,0,TIER 1,0
31685,0,1,10,1,2636,27500,12,1619,MO,0,15,MALE,SELF,OWNED,01-01-1960,56,0,0,0,,0,,,,,,0,0,0,TIER 1,0
31686,0,3,14,3,2060,29900,18,1253,MO,0,16,MALE,SELF,OWNED,01-01-1975,41,3,1,0,,0,,,29900,,,5,5,2,TIER 1,0
31687,0,0,14,0,1913,27900,18,2577,MO,0,15.6,MALE,SELF,OWNED,20-09-1992,23,1,1,0,,0,,,27900,,,0,0,0,TIER 1,0
31688,0,2,14,2,2510,37900,18,2120,SC,0,12.8,FEMALE,SAL,RENT,01-06-1991,24,1,1,0,,0,,,37900,,,0,0,0,TIER 1,0
31689,0,0,10,0,1928,26900,15,1256,MO,3,6,MALE,SAL,RENT,14-06-1978,37,11,5,6,39669,0,,121113,26900,152,143,31,26,12,TIER 1,0
31690,0,0,19,0,2520,51340,24,1008,SC,1,8.88,MALE,SAL,RENT,26-02-1962,54,1,1,0,,0,,,51340,,,2,2,0,TIER 1,0
31691,0,0,10,2,2066,28818,15,1303,MO,3,5.99,MALE,SELF,OWNED,01-01-1977,39,1,1,0,,0,,,28818,,,0,0,0,TIER 1,0
31692,0,3,14,3,1627,24500,18,1319,MO,0,13,MALE,SELF,RENT,06-04-1991,24,2,1,1,21955,0,,21955,24500,,,0,0,0,TIER 1,0
31693,0,0,19,0,1696,31620,24,4401,MO,0,14.35,MALE,SELF,RENT,01-01-1994,22,15,1,14,117000,0,,185341,31620,23,46,0,0,0,TIER 1,0
31694,0,2,19,2,2197,44770,24,4401,SC,1,8.88,FEMALE,SELF,RENT,29-03-1993,22,0,0,0,,0,,,,,,0,0,0,TIER 1,0
31695,0,0,15,0,2673,40900,18,1010,MC,1,11.75,MALE,SAL,OWNED,14-12-1994,21,1,1,0,,0,,,40900,,,0,0,0,TIER 1,0
31696,0,0,20,0,2498,50900,24,1366,SC,1,8.88,MALE,SELF,RENT,01-01-1976,40,14,14,0,55000,0,55000,,50900,,,1,0,0,TIER 1,0
31697,0,0,10,0,1464,17000,13,1313,MO,1,11,MALE,SAL,OWNED,01-01-1972,44,2,1,1,,0,,,17000,,59,0,0,0,TIER 1,0
31698,0,2,15,2,3125,50900,18,1266,SC,1,6.99,MALE,SAL,RENT,20-11-1991,24,2,1,1,,0,,,50900,,26,0,0,0,TIER 1,0
31699,0,0,14,0,1515,27900,21,1266,MO,3,7.99,FEMALE,SELF,RENT,01-01-1980,36,1,1,0,,0,,,27900,,,0,0,0,TIER 1,0
31700,0,0,21,0,1699,31500,24,3683,MO,0,14.7,MALE,SELF,OWNED,01-02-1981,35,1,1,0,,0,,,31500,,,0,0,0,TIER 4,0
31701,0,0,19,0,1339,25500,24,1695,MO,0,13,MALE,SELF,OWNED,13-06-1961,54,1,1,0,,0,,,25500,,,0,0,0,TIER 4,0
31702,0,0,17,0,2394,45800,24,1123,SC,0,12.7,MALE,SELF,OWNED,01-10-1983,32,0,0,0,,0,,,,,,0,0,0,TIER 4,0
31703,0,2,20,2,1595,32900,26,2117,MO,2,12,MALE,SELF,OWNED,01-01-1991,25,3,1,0,50000,0,,,32900,,,0,0,0,TIER 4,0
31704,0,1,14,1,2875,45000,18,4928,SC,1,9.99,FEMALE,SAL,OWNED,10-12-1983,32,1,1,0,,0,,,45000,,,0,0,0,TIER 4,0
31705,0,2,23,2,1184,22000,24,8206,TL,0,14.55,FEMALE,SELF,RENT,20-05-1969,45,0,0,0,,0,,,,,,0,0,0,TIER 3,0
31706,0,0,21,0,1184,22000,24,8346,TL,0,14.55,FEMALE,SAL,RENT,14-12-1961,54,0,0,0,,0,,,,,,0,0,0,TIER 3,0
31707,0,1,24,1,1937,36000,24,8346,TL,0,14.55,FEMALE,HOUSEWIFE,RENT,29-07-1982,32,0,0,0,,0,,,,,,0,0,0,TIER 3,0
31708,1,0,15,1,1740,26200,18,3670,MO,0,13,MALE,SELF,OWNED,01-01-1990,26,2,1,1,150000,0,,150000,26200,32,,0,0,0,TIER 4,0
31709,0,1,27,1,2474,56000,30,2253,SC,1,13,FEMALE,SELF,OWNED,25-05-1987,28,2,1,1,30000,0,,30000,56000,,,2,2,0,TIER 4,0
31710,0,0,21,0,1699,31500,24,3683,MO,0,14.7,MALE,SELF,OWNED,24-02-1974,42,1,1,0,,0,,,31500,,,0,0,0,TIER 4,0
31711,0,1,20,1,3050,57000,24,1123,SC,0,14.2,FEMALE,SELF,OWNED,19-05-1993,22,5,5,0,,0,,,57000,,,0,0,0,TIER 4,0
31712,0,0,19,0,1504,28300,24,3670,MO,0,13.75,MALE,SELF,OWNED,01-01-1973,43,3,3,0,36000,0,36000,,28300,,,0,0,0,TIER 4,0
31713,0,0,23,0,2459,47200,24,1123,SC,0,12.5,MALE,SAL,OWNED,05-05-1986,30,1,1,0,,0,,,47200,,,0,0,0,TIER 4,0
31714,0,1,19,1,1751,33350,24,4101,MO,1,13,MALE,SELF,OWNED,21-05-1993,22,3,2,1,56800,0,56800,,56800,,20,0,0,0,TIER 4,0
31715,0,0,21,0,1732,32215,24,1124,MO,0,14.5,MALE,SELF,OWNED,02-01-1956,60,2,2,0,,0,,,32215,,,0,0,0,TIER 4,0
31716,0,0,9,1,2500,30000,12,3643,MO,2,0,MALE,SELF,OWNED,17-10-1959,56,11,6,0,,0,,,30000,,,12,10,8,TIER 4,0
31717,0,0,19,1,2557,51566,24,2284,SC,1,9.5,FEMALE,SAL,OWNED,12-08-1979,36,9,2,2,500000,0,,75000,51566,,,9,9,6,TIER 4,0
31718,0,0,15,0,2242,31000,15,4039,MO,3,6.75,MALE,SELF,OWNED,01-01-1989,27,1,1,0,,0,,,31000,,,0,0,0,TIER 4,0
31719,0,0,20,0,1920,36000,24,1019,MC,0,14,MALE,SELF,OWNED,01-01-1972,44,2,1,1,,0,,,36000,,,0,0,0,TIER 4,0
31720,0,1,19,1,915,17700,24,1695,MO,1,12,MALE,SELF,OWNED,22-01-1986,30,3,3,0,,0,,,21500,,,0,0,0,TIER 4,0
31721,0,3,14,3,1857,29000,18,1019,MO,3,10.15,FEMALE,SELF,OWNED,01-01-1991,25,1,1,0,,0,,,29000,,,0,0,0,TIER 4,0
31722,0,1,13,1,3121,53000,18,1918,SC,2,3.99,FEMALE,HOUSEWIFE,OWNED,15-04-1974,42,1,1,0,,0,,,53000,,,0,0,0,TIER 4,0
31723,0,0,20,0,1648,30900,24,3670,MO,0,14,MALE,SAL,OWNED,01-01-1987,29,2,2,0,35000,0,35000,,35000,,,0,0,0,TIER 4,0
31724,0,0,19,0,1784,33600,24,3334,MO,1,13.7,MALE,SELF,OWNED,15-10-1977,38,28,26,0,120000,0,,,33600,,,0,0,0,TIER 4,0
31725,0,0,19,1,1961,39950,24,2038,SC,1,8.88,MALE,SAL,OWNED,20-05-1961,54,3,2,0,540000,0,540000,,39950,,,0,0,0,TIER 4,0
31726,0,1,15,1,1513,22500,18,1764,MO,0,14,MALE,SELF,OWNED,01-01-1960,56,1,1,0,,0,,,22500,,,0,0,0,TIER 4,0
31727,0,0,14,0,3112,46000,18,4928,MC,0,14.5,MALE,SELF,OWNED,05-10-1992,23,1,1,0,,0,,,46000,,,0,0,0,TIER 4,0
31728,0,1,19,2,2616,52325,24,4717,SC,1,9.99,FEMALE,SAL,OWNED,10-08-1977,38,1,1,0,,0,,,52325,,,0,0,0,TIER 4,0
31729,0,0,19,0,2128,54500,36,1714,SC,1,13.5,MALE,SELF,OWNED,18-03-1986,30,4,2,1,70100,0,70100,,70100,,25,0,0,0,TIER 4,0
31730,0,0,15,1,2632,40500,18,1019,MC,1,11.3,MALE,SELF,OWNED,15-06-1986,29,1,1,0,40500,0,40500,,40500,,,3,1,0,TIER 4,0
31731,0,0,24,0,1292,32400,36,4101,MO,1,14.5,MALE,SAL,OWNED,10-03-1975,41,6,5,1,460000,0,475000,10648,32400,,,0,0,0,TIER 4,0
31732,0,2,18,2,2406,45000,24,1019,MC,2,14.15,MALE,SELF,OWNED,01-01-1988,28,2,1,0,195000,0,,,45000,,,2,2,0,TIER 4,0
31733,0,0,20,0,2948,58000,24,4039,MC,1,10.99,MALE,SELF,OWNED,01-06-1982,33,1,1,0,,0,,,58000,,,0,0,0,TIER 4,0
31734,0,0,17,0,2448,46950,24,1019,SC,1,12.55,MALE,SAL,OWNED,04-01-1990,26,1,1,0,,0,,,46950,,,0,0,0,TIER 4,0
31735,0,0,28,0,2374,53000,30,2871,SC,0,13.75,MALE,SELF,OWNED,03-05-1988,27,1,1,0,,0,,,53000,,,0,0,0,TIER 4,0
31736,0,1,23,1,2374,44860,24,2882,MC,0,13.5,MALE,SELF,OWNED,01-01-1985,31,1,1,0,,0,,,44860,,,0,0,0,TIER 4,0
31737,0,0,14,0,2960,48210,18,2882,SC,1,6.99,MALE,SELF,OWNED,01-01-1991,25,1,1,0,,0,,,48210,,,0,0,0,TIER 4,0
31738,0,0,24,1,2536,48000,24,1019,MC,0,13.4,MALE,SAL,OWNED,03-02-1988,28,3,1,1,143740,0,,143740,48000,21,,6,6,3,TIER 4,0
31739,0,0,20,0,2236,57900,36,1918,SC,1,13,MALE,SAL,OWNED,09-06-1981,34,2,2,0,,0,,,57900,,,0,0,0,TIER 4,0
31740,0,0,23,0,2295,51000,30,4490,SC,0,14,MALE,SELF,OWNED,15-08-1964,51,5,5,0,12000,0,12000,,51000,,,0,0,0,TIER 4,0
31741,0,2,13,2,3621,57000,18,3670,SC,3,9.55,FEMALE,HOUSEWIFE,OWNED,06-03-1975,41,1,1,0,,0,,,57000,,,0,0,0,TIER 4,0
31742,0,1,10,1,2800,30000,12,3748,MC,0,12,MALE,SELF,OWNED,01-01-1979,37,4,1,1,,0,,,30000,66,,0,0,0,TIER 4,0
31743,0,1,17,1,2669,42900,18,1979,SC,0,7.99,FEMALE,SAL,OWNED,14-10-1982,33,9,3,6,,0,,,42900,,25,0,0,0,TIER 1,0
31744,0,1,15,1,2763,45000,18,4697,SC,1,6.99,MALE,SELF,OWNED,27-11-1967,48,6,1,5,,0,,,45000,,46,0,0,0,TIER 4,0
31745,0,0,10,0,2912,33600,12,2764,SC,0,3.99,MALE,SELF,OWNED,13-03-1976,40,22,7,15,202676,0,,248429,33600,42,139,10,9,3,TIER 4,1
31746,0,1,10,1,2625,30290,12,2498,MC,0,3.99,MALE,SELF,OWNED,01-01-1978,38,2,1,1,100000,0,,100000,30290,,,0,0,0,TIER 4,0
31747,0,0,20,0,2109,42900,24,1979,SC,0,8.99,MALE,SELF,OWNED,22-12-1992,23,11,2,9,300000,0,42900,402303,42900,17,36,7,6,3,TIER 1,0
31748,0,1,24,1,2184,44500,24,2498,SC,1,8.88,FEMALE,SELF,OWNED,01-01-1991,25,1,1,0,,0,,,44500,,,0,0,0,TIER 4,0
31749,0,1,21,1,2045,38000,24,8394,TL,0,14.55,MALE,SELF,RENT,10-03-1985,31,0,0,0,,0,,,,,,0,0,0,TIER 3,0
31750,0,1,22,1,1554,29000,24,8394,TL,0,14.3,MALE,SELF,OWNED,02-01-1979,35,0,0,0,,0,,,,,,0,0,0,TIER 3,0
31751,0,0,22,0,2307,47000,24,1841,SC,1,8.88,MALE,SELF,RENT,01-01-1982,34,5,2,3,153000,0,,153000,47000,24,46,1,0,0,TIER 4,0
31752,0,0,20,0,2454,50000,24,2029,SC,1,8.88,MALE,SAL,OWNED,05-12-1970,45,7,5,2,834000,0,1159000,289000,66000,20,23,0,0,0,TIER 4,0
31753,0,0,10,0,1720,24000,15,20003,MO,3,5.99,MALE,SAL,OWNED,01-01-1986,30,5,1,4,178022,0,,322591,24000,,,11,11,5,TIER 4,0
31754,0,1,14,1,2701,44000,18,1841,SC,1,6.99,MALE,SELF,OWNED,22-08-1977,38,16,4,12,456561,0,456561,95797,44000,92,110,15,11,6,TIER 4,0
31755,0,0,15,0,2763,45000,18,2764,SC,1,6.99,MALE,SELF,OWNED,23-10-1983,32,12,3,7,650000,0,,,45000,43,48,0,0,0,TIER 4,0
31756,0,0,19,0,2405,49000,24,1841,SC,1,8.88,MALE,SELF,OWNED,01-11-1987,28,7,1,5,300000,0,,300000,49000,19,42,0,0,0,TIER 4,0
31757,0,0,20,1,2356,48000,24,4280,SC,1,8.88,MALE,SELF,OWNED,17-01-1987,29,7,1,4,98000,0,,98000,48000,22,28,0,0,0,TIER 4,0
31758,0,0,19,0,1709,42850,36,1841,MC,0,14.5,MALE,SAL,OWNED,20-01-1985,31,19,6,13,185000,0,281263,29561,50763,,82,0,0,0,TIER 4,0
31759,0,0,15,0,2763,45000,18,3628,SC,1,6.99,MALE,SELF,OWNED,24-11-1993,22,1,1,0,,0,,,45000,,,0,0,0,TIER 4,0
31760,0,1,23,1,2454,50000,24,2029,SC,1,8.88,MALE,SAL,OWNED,08-11-1965,50,3,2,1,910000,0,910000,,50000,103,,0,0,0,TIER 4,0
31761,0,0,17,0,2380,48000,24,4897,SC,1,9.5,MALE,SELF,OWNED,08-07-1968,47,3,3,0,700000,0,900000,,48000,,,4,4,4,TIER 4,0
31762,0,0,24,0,2839,52000,24,2300,SC,0,15.5,FEMALE,SAL,OWNED,07-07-1982,33,1,1,0,,0,,,52000,,,0,0,0,TIER 4,0
31763,0,0,18,0,2356,48000,24,1841,SC,1,8.88,MALE,SAL,OWNED,15-11-1988,27,9,5,4,545718,0,942323,100584,48000,25,63,0,0,0,TIER 4,0
31764,0,0,17,0,1474,22200,18,2526,MO,0,13,MALE,SELF,OWNED,01-01-1963,53,2,1,0,500000,0,,,22200,,,1,0,0,TIER 4,0
31765,0,1,19,1,2454,50000,24,2029,SC,1,8.88,MALE,SELF,OWNED,21-01-1988,28,1,1,0,,0,,,50000,,,0,0,0,TIER 4,0
31766,0,0,19,0,2405,49000,24,20003,SC,1,8.88,MALE,SAL,OWNED,09-09-1988,27,1,1,0,,0,,,49000,,,0,0,0,TIER 4,0
31767,0,4,16,4,1735,25800,18,3628,MC,0,14,MALE,SAL,OWNED,01-01-1992,24,1,1,0,,0,,,25800,,,0,0,0,TIER 4,0
31768,1,1,12,1,2904,33500,12,2029,SC,0,3.99,MALE,SAL,OWNED,15-06-1987,28,15,2,13,48747,0,,89254,33500,25,131,0,0,0,TIER 4,0
31769,0,0,17,0,2763,45000,18,2306,SC,1,6.99,MALE,SELF,OWNED,01-04-1976,39,3,2,1,550000,0,550000,,45000,50,,0,0,0,TIER 4,0
31770,0,0,21,0,1345,25000,24,8347,TL,0,14.55,MALE,SAL,OWNED,02-06-1984,31,0,0,0,,0,,,,,,0,0,0,TIER 4,0
31771,0,0,21,0,1560,29000,24,8347,TL,0,14.55,MALE,SELF,OWNED,18-02-1972,42,0,0,0,,0,,,,,,0,0,0,TIER 4,0
31772,0,0,21,0,1345,25000,24,8347,TL,0,14.55,MALE,SAL,RENT,01-06-1964,50,0,0,0,,0,,,,,,0,0,0,TIER 4,0
31773,0,0,23,0,1345,25000,24,8347,TL,0,14.55,FEMALE,SELF,,14-04-1981,35,0,0,0,,0,,,,,,0,0,0,TIER 4,0
31774,0,0,17,0,2658,50213,24,2764,SC,0,13.5,MALE,SELF,RENT,20-11-1976,39,1,1,0,,0,,,50213,,,1,0,0,TIER 4,0
31775,0,0,20,0,1874,48000,36,2764,MC,1,13.5,MALE,SELF,OWNED,19-10-1979,36,25,10,15,800000,0,999000,50845,48000,55,139,0,0,0,TIER 4,0
31776,0,0,14,0,2763,45000,18,2764,SC,1,6.99,MALE,SELF,OWNED,21-09-1970,45,12,3,9,50000,0,,50000,45000,,73,3,2,0,TIER 4,0
31777,0,0,10,0,2912,33593,12,2764,SC,0,3.99,FEMALE,SAL,OWNED,17-01-1970,46,2,1,1,,0,,,33593,,54,0,0,0,TIER 4,0
31778,0,0,21,0,2356,48000,24,1841,SC,1,8.88,FEMALE,SAL,OWNED,17-10-1978,37,1,1,0,,0,,,48000,,,0,0,0,TIER 4,0
31779,0,0,22,1,2313,43000,24,8344,TL,0,14.53,MALE,SELF,RENT,19-03-1985,29,0,0,0,,0,,,,,,0,0,0,TIER 3,0
31780,0,0,21,0,2314,43000,24,8344,TL,0,14.55,MALE,SAL,RENT,07-07-1972,42,0,0,0,,0,,,,,,0,0,0,TIER 3,0
31781,0,0,24,0,1937,36000,24,8344,TL,0,14.55,FEMALE,SAL,RENT,13-05-1984,30,0,0,0,,0,,,,,,0,0,0,TIER 3,0
31782,0,0,21,1,1829,34000,24,8344,TL,0,14.55,MALE,SELF,RENT,18-10-1966,47,0,0,0,,0,,,,,,0,0,0,TIER 3,0
31783,0,1,21,2,1560,29000,24,8344,TL,0,14.55,FEMALE,SELF,RENT,05-04-1979,35,0,0,0,,0,,,,,,0,0,0,TIER 3,0
31784,0,0,23,0,1265,23000,24,8382,TL,0,15.95,MALE,SELF,OWNED,11-04-1978,38,0,0,0,,0,,,,,,0,0,0,TIER 3,0
31785,0,2,17,2,3666,54900,18,1980,MC,0,13.45,MALE,SAL,OWNED,23-06-1990,25,2,1,1,,0,,,54900,,18,0,0,0,TIER 1,0
31786,0,0,17,0,2669,42900,18,3035,SC,0,7.99,MALE,SAL,OWNED,01-01-1987,29,4,2,2,180000,0,,180000,53900,41,26,0,0,0,TIER 1,0
31787,0,0,16,0,2433,37850,18,2764,MC,0,10.45,MALE,SELF,OWNED,13-05-1982,33,1,1,0,,0,,,37850,,,0,0,0,TIER 4,0
31788,0,0,14,0,2852,58000,24,2764,SC,3,9,MALE,SELF,OWNED,20-02-1978,38,1,1,0,,0,,,58000,,,0,0,0,TIER 4,0
31789,0,3,16,3,1803,32353,22,1088,MO,2,12.3,FEMALE,SELF,OWNED,05-02-1978,38,13,13,0,,0,,,32353,,,0,0,0,TIER 4,0
31790,0,0,20,0,1620,29947,24,1086,MO,1,14.9,MALE,SELF,OWNED,23-03-1985,31,62,61,0,63000,0,77400,,64959,,,10,7,4,TIER 4,0
31791,0,2,21,3,1528,28202,24,1084,MO,1,15,FEMALE,SELF,OWNED,05-05-1989,26,2,1,0,28202,0,28202,,28202,,,0,0,0,TIER 4,0
31792,0,0,18,1,3065,45900,18,1022,MC,0,13.46,MALE,SELF,OWNED,01-01-1990,26,1,1,0,,0,,,45900,,,0,0,0,TIER 2,0
31793,0,1,19,2,2150,46900,24,2118,MC,4,4.99,MALE,SELF,OWNED,15-06-1981,34,7,7,0,,0,,,46900,,,18,17,8,TIER 2,1
31794,0,0,20,2,1530,30000,24,1063,MO,1,11.2,MALE,SAL,RENT,17-09-1974,41,7,1,5,,0,,,30000,,42,0,0,0,TIER 1,0
31795,0,0,22,1,3170,63400,24,1298,MC,1,9.99,MALE,SAL,RENT,20-02-1994,22,4,1,3,150000,0,,172969,63400,32,,0,0,0,TIER 1,0
31796,0,0,17,0,2652,43500,19,1299,SC,1,10,MALE,SAL,RENT,05-06-1985,30,12,2,10,105364,0,,209418,43500,28,,0,0,0,TIER 1,0
31797,0,0,17,0,1525,28024,23,2927,MO,2,13.1,MALE,SELF,OWNED,14-05-1981,34,1,1,0,,0,,,28024,,,0,0,0,TIER 4,0
31798,0,0,20,0,2131,40100,25,1188,SC,1,15.75,MALE,SELF,OWNED,30-06-1975,40,4,2,0,,0,,,40100,,,0,0,0,TIER 4,0
31799,0,0,23,0,977,18600,25,1188,MO,1,15,MALE,SELF,OWNED,19-03-1972,44,1,1,0,,0,,,18600,,,0,0,0,TIER 4,0
31800,0,1,16,2,1671,28290,21,1088,MO,1,13.7,MALE,SELF,OWNED,25-05-1976,39,2,1,1,20000,0,,20000,28290,,28,0,0,0,TIER 4,0
31801,0,0,9,0,2003,24100,13,1085,MO,3,7.4,MALE,SELF,OWNED,15-05-1971,44,1,1,0,,0,,,24100,,,0,0,0,TIER 4,0
31802,0,1,22,1,1978,44400,27,3307,MC,3,8.99,MALE,SAL,OWNED,01-01-1979,37,6,2,4,440000,0,48188,440000,48188,14,,6,6,3,TIER 2,0
31803,0,0,16,0,3092,48400,18,2134,SC,1,9.99,MALE,SAL,OWNED,01-10-1982,33,1,1,0,,0,,,48400,,,0,0,0,TIER 2,0
31804,0,0,10,0,2938,33900,12,2118,SC,0,3.99,MALE,SELF,OWNED,05-07-1969,46,1,1,0,,0,,,33900,,,0,0,0,TIER 2,0
31805,0,0,13,0,2947,48000,18,1649,SC,1,6.99,MALE,SAL,OWNED,15-12-1966,49,0,0,0,,0,,,,,,0,0,0,TIER 2,0
31806,0,0,19,0,2496,44900,24,1862,MC,1,16.7,MALE,SELF,OWNED,22-06-1992,23,1,1,0,,0,,,44900,,,0,0,0,TIER 1,0
31807,0,1,19,1,1662,29900,24,1862,MO,1,16.7,MALE,SELF,OWNED,01-01-1963,53,1,1,0,,0,,,29900,,,0,0,0,TIER 1,0
31808,0,0,19,0,2428,48000,24,1063,SC,1,10.7,MALE,SAL,RENT,01-06-1972,43,10,2,7,1874000,0,1874000,126479,48000,44,67,5,0,0,TIER 1,0
31809,0,0,17,0,1779,36600,24,1298,MO,3,8.3,MALE,SAL,RENT,13-06-1985,30,14,3,11,250000,0,,577993,60924,26,80,4,3,0,TIER 1,0
31810,0,3,20,3,1700,32000,25,1188,MO,1,15.75,MALE,SELF,OWNED,16-09-1970,45,13,13,0,17000,0,17000,,32000,,,0,0,0,TIER 4,0
31811,0,0,14,0,1531,23205,18,1084,MO,1,12.5,FEMALE,HOUSEWIFE,RENT,11-05-1986,29,1,1,0,,0,,,23205,,,0,0,0,TIER 4,0
31812,0,0,17,0,2889,58250,25,1188,MC,1,11.5,MALE,SAL,OWNED,23-05-1991,24,0,0,0,,0,,,,,,0,0,0,TIER 4,0
31813,0,0,18,0,2698,47500,21,1188,SC,1,11,FEMALE,SELF,OWNED,25-05-1985,30,4,3,1,,0,,,47500,,,5,5,2,TIER 4,0
31814,0,0,15,0,1894,29003,19,4332,MO,0,15.2,FEMALE,HOUSEWIFE,OWNED,16-07-1980,35,1,1,0,,0,,,29003,,,0,0,0,TIER 4,0
31815,0,0,23,0,2444,46000,25,1188,SC,1,15.75,FEMALE,SELF,OWNED,22-08-1979,36,2,1,0,23750,0,,,46000,,,0,0,0,TIER 4,0
31816,0,1,18,1,2510,50200,24,1085,SC,2,9.99,FEMALE,SELF,OWNED,22-05-1964,51,14,5,0,10000,0,,,50200,,,0,0,0,TIER 4,0
31817,0,1,20,1,1699,31705,25,1088,MO,1,16.3,MALE,SELF,OWNED,01-02-1977,39,1,1,0,,0,,,31705,,,0,0,0,TIER 4,0
31818,0,0,15,0,1875,30000,20,1188,MO,1,15,MALE,SELF,OWNED,28-07-1975,40,10,10,0,,0,,,36497,,,0,0,0,TIER 4,0
31819,0,1,11,1,2765,31900,12,1022,SC,0,3.99,MALE,SELF,OWNED,10-10-1978,37,6,4,1,,0,,,50000,,43,3,1,0,TIER 2,0
31820,0,2,17,2,1710,37300,24,2118,MC,4,4.99,MALE,SELF,OWNED,01-01-1991,25,1,1,0,,0,,,37300,,,0,0,0,TIER 2,0
31821,0,0,21,0,3788,70830,24,1299,MC,0,14.16,MALE,SELF,RENT,01-05-1969,46,9,3,5,,0,,,70830,182,35,1,1,1,TIER 1,0
31822,0,0,10,0,3000,36000,12,1267,SC,0,0,MALE,SELF,OWNED,30-05-1959,56,5,4,0,,0,,,36000,,,1,1,0,TIER 1,0
31823,0,1,22,2,2678,51400,24,4056,SC,0,12.5,MALE,SAL,OWNED,08-03-1985,31,19,2,17,135000,0,75000,617034,75000,21,76,6,0,0,TIER 1,0
31824,0,1,19,1,1795,32500,24,1305,MO,1,16.25,MALE,SELF,OWNED,10-04-1974,41,1,1,0,,0,,,32500,,,0,0,0,TIER 1,0
31825,0,0,15,0,1948,30053,19,1088,MO,1,14.6,MALE,SELF,OWNED,08-06-1965,50,12,6,1,45000,0,64000,,30053,,,0,0,0,TIER 4,0
31826,0,2,11,2,2750,37600,15,1059,SC,3,7.75,FEMALE,SELF,OWNED,11-05-1979,36,12,3,0,,0,,,37600,,,0,0,0,TIER 4,0
31827,0,0,20,1,3143,60000,24,1059,MC,1,12.85,MALE,SELF,OWNED,20-05-1988,27,0,0,0,,0,,,,,,0,0,0,TIER 4,0
31828,0,0,14,0,2856,45900,18,4058,SC,0,7.99,MALE,SAL,OWNED,02-03-1984,32,5,1,4,,0,,,45900,38,62,6,5,3,TIER 2,0
31829,0,1,16,1,2771,52900,22,4838,SC,4,8.3,MALE,SELF,OWNED,01-01-1990,26,1,1,0,,0,,,52900,,,0,0,0,TIER 2,0
31830,0,0,13,0,3002,48900,18,4895,SC,1,6.99,MALE,SELF,OWNED,01-01-1985,31,5,1,3,40178,0,,80356,48900,77,,0,0,0,TIER 2,0
31831,0,0,15,0,2654,41000,18,4756,MC,0,10.99,MALE,SAL,RENT,06-05-1987,28,3,1,2,38574,0,,76856,41000,,,0,0,0,TIER 1,0
31832,0,0,17,0,2861,47900,20,1153,SC,1,11.65,MALE,SELF,OWNED,21-11-1978,37,16,14,1,500000,0,500000,78106,47900,,,8,5,2,TIER 1,0
31833,0,0,20,0,2832,50900,24,1862,SC,1,16.75,MALE,SAL,OWNED,07-11-1963,52,3,1,2,,0,,,50900,182,,0,0,0,TIER 1,0
31834,0,0,14,0,1873,29700,18,1063,MO,1,9,MALE,SAL,RENT,04-08-1973,42,16,5,1,181000,0,,181000,29700,,,24,19,9,TIER 1,0
31835,0,2,11,2,3055,35250,12,1267,SC,0,3.99,FEMALE,HOUSEWIFE,OWNED,04-06-1980,35,8,7,1,48000,0,48000,,35250,,46,0,0,0,TIER 1,0
31836,0,1,14,1,3002,48900,18,4895,SC,1,6.99,MALE,SAL,OWNED,05-07-1982,33,2,1,1,70000,0,,70000,48900,,,0,0,0,TIER 2,0
31837,0,1,19,3,1589,31000,24,4800,MC,1,11.5,MALE,SELF,OWNED,05-01-1992,24,4,2,2,,0,,,39500,,29,0,0,0,TIER 4,0
31838,0,1,9,1,3681,40900,12,2511,MC,1,7.99,MALE,SELF,OWNED,15-07-1993,22,2,2,0,35139,0,35139,,40900,,,0,0,0,TIER 4,0
31839,0,1,22,1,2700,52500,24,3436,MC,1,11.7,MALE,SAL,RENT,27-09-1989,26,1,1,0,,0,,,52500,,,0,0,0,TIER 1,0
31840,0,1,20,1,2623,49600,24,1325,MC,0,13.45,MALE,SELF,OWNED,10-06-1985,30,5,3,1,,0,,,49600,,,0,0,0,TIER 1,0
31841,0,0,17,0,2613,55000,24,1251,MC,4,6.99,MALE,SELF,RENT,10-08-1988,27,1,1,0,,0,,,55000,,,0,0,0,TIER 1,0
31842,0,0,27,1,2174,50500,30,4756,MC,1,11.65,MALE,SELF,OWNED,02-01-1970,46,3,1,2,27500,0,,27500,50500,,14,0,0,0,TIER 1,0
31843,0,0,19,0,1750,31010,24,2036,MO,1,17.7,MALE,SAL,OWNED,30-01-1967,49,2,2,0,,0,,,37000,,,0,0,0,TIER 1,0
31844,0,2,20,4,1656,31910,24,4332,MO,1,12.25,MALE,SELF,OWNED,01-01-1972,44,1,1,0,,0,,,31910,,,0,0,0,TIER 4,0
